# cuerpo, x, y, z, vx, vy, vz, t, masa
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.509874885179883752e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.989099999999999888e+30
1.000000000000000000e+00,1.495978707000000000e+11,1.044000000000000000e+08,0.000000000000000000e+00,-2.135626059178143521e+01,2.899998509641648343e+04,0.000000000000000000e+00,0.000000000000000000e+00,5.972000000000000327e+24
2.000000000000000000e+00,-7.479893535000000000e+11,-4.680000000000000000e+07,0.000000000000000000e+00,8.542301819359219284e-01,-1.299999994655256342e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.897999999999999950e+27
0.000000000000000000e+00,-1.220962573092648672e+05,-1.022684493610256027e+02,0.000000000000000000e+00,-2.261612571358171675e-01,-2.867597531341566390e-04,0.000000000000000000e+00,1.000000000000000000e+00,1.989099999999999888e+30
1.000000000000000000e+00,1.461381934323169250e+11,3.118087082548384094e+10,0.000000000000000000e+00,-6.385473868385369315e+03,2.832411978765778622e+04,0.000000000000000000e+00,1.000000000000000000e+00,5.972000000000000327e+24
2.000000000000000000e+00,-7.478505106789864502e+11,-1.408592548375401306e+10,0.000000000000000000e+00,2.571094146629852730e+02,-1.299757080604220937e+04,0.000000000000000000e+00,1.000000000000000000e+00,1.897999999999999950e+27
0.000000000000000000e+00,-4.879393867697265814e+05,-8.401436058603640049e+02,0.000000000000000000e+00,-4.522487781801938223e-01,-1.196102714367857072e-03,0.000000000000000000e+00,2.000000000000000000e+00,1.989099999999999888e+30
1.000000000000000000e+00,1.359185209985548096e+11,6.081329123400894165e+10,0.000000000000000000e+00,-1.249728163412881258e+04,2.632714206675045352e+04,0.000000000000000000e+00,2.000000000000000000e+00,5.972000000000000327e+24
2.000000000000000000e+00,-7.474349489735673828e+11,-2.811983884294377136e+10,0.000000000000000000e+00,5.132828279976623662e+02,-1.299033200222817868e+04,0.000000000000000000e+00,2.000000000000000000e+00,1.897999999999999950e+27
0.000000000000000000e+00,-1.098624650378888240e+06,-2.959967152388302566e+03,0.000000000000000000e+00,-6.796902635277860538e-01,-2.883785511778667876e-03,0.000000000000000000e+00,3.000000000000000000e+00,1.989099999999999888e+30
1.000000000000000000e+00,1.193463954158012238e+11,8.759978703972584534e+10,0.000000000000000000e+00,-1.810562235509751554e+04,2.306153585653775735e+04,0.000000000000000000e+00,3.000000000000000000e+00,5.972000000000000327e+24
2.000000000000000000e+00,-7.467428003178334961e+11,-4.214334637063574982e+10,0.000000000000000000e+00,7.692934196128509257e+02,-1.297828505771821801e+04,0.000000000000000000e+00,3.000000000000000000e+00,1.897999999999999950e+27
0.000000000000000000e+00,-1.955979986470589181e+06,-7.438468410397742446e+03,0.000000000000000000e+00,-9.091651132850993022e-01,-5.624260565590715605e-03,0.000000000000000000e+00,4.000000000000000000e+00,1.989099999999999888e+30
1.000000000000000000e+00,9.710121555754858398e+10,1.102160556001742554e+11,0.000000000000000000e+00,-2.295844774567952118e+04,1.861965846336013055e+04,0.000000000000000000e+00,4.000000000000000000e+00,5.972000000000000327e+24
2.000000000000000000e+00,-7.457742841817713623e+11,-5.615125654294576263e+10,0.000000000000000000e+00,1.025060136295250686e+03,-1.296143249616339017e+04,0.000000000000000000e+00,4.000000000000000000e+00,1.897999999999999950e+27
0.000000000000000000e+00,-3.062564707357702311e+06,-1.562251933635471687e+04,0.000000000000000000e+00,-1.141345627052652301e+00,-9.833288391953316082e-03,0.000000000000000000e+00,5.000000000000000000e+00,1.989099999999999888e+30
1.000000000000000000e+00,7.013379282693663025e+10,1.274622851825714111e+11,0.000000000000000000e+00,-2.680609108138390366e+04,1.314128009334519083e+04,0.000000000000000000e+00,5.000000000000000000e+00,5.972000000000000327e+24
2.000000000000000000e+00,-7.445297075749674072e+11,-7.013838110106921387e+10,0.000000000000000000e+00,1.280501920624052673e+03,-1.293977784406379214e+04,0.000000000000000000e+00,5.000000000000000000e+00,1.897999999999999950e+27
0.000000000000000000e+00,-4.421650348653872497e+06,-2.939619291438998698e+04,0.000000000000000000e+00,-1.376872844136183272e+00,-1.609511593973805832e-02,0.000000000000000000e+00,6.000000000000000000e+00,1.989099999999999888e+30
1.000000000000000000e+00,3.965994534248514557e+10,1.383191745312835999e+11,0.000000000000000000e+00,-2.940933242952936052e+04,6.822639159372059112e+03,0.000000000000000000e+00,6.000000000000000000e+00,5.972000000000000327e+24
2.000000000000000000e+00,-7.430094650519416504e+11,-8.409953613567607117e+10,0.000000000000000000e+00,1.535537709513469963e+03,-1.291332563335074337e+04,0.000000000000000000e+00,6.000000000000000000e+00,1.897999999999999950e+27
0.000000000000000000e+00,-6.037165531147412024e+06,-5.137695876542155747e+04,0.000000000000000000e+00,-1.616313312990291129e+00,-2.518791370493257339e-02,0.000000000000000000e+00,7.000000000000000000e+00,1.989099999999999888e+30
1.000000000000000000e+00,7.142083343084492683e+09,1.420136561337791138e+11,0.000000000000000000e+00,-3.055382034319974264e+04,-7.509102859865905089e+01,0.000000000000000000e+00,7.000000000000000000e+00,5.972000000000000327e+24
2.000000000000000000e+00,-7.412140387190086670e+11,-9.802954317453659058e+10,0.000000000000000000e+00,1.790086432861974117e+03,-1.288208140480359361e+04,0.000000000000000000e+00,7.000000000000000000e+00,1.897999999999999950e+27
0.000000000000000000e+00,-7.913582504572801292e+06,-8.513413200486204005e+04,0.000000000000000000e+00,-1.860094104040981522e+00,-3.809753275725254185e-02,0.000000000000000000e+00,8.000000000000000000e+00,1.989099999999999888e+30
1.000000000000000000e+00,-2.574865513068450928e+10,1.380920187067993164e+11,0.000000000000000000e+00,-3.007174098720365510e+04,-7.221238748883293738e+03,0.000000000000000000e+00,8.000000000000000000e+00,5.972000000000000327e+24
2.000000000000000000e+00,-7.391439982425500488e+11,-1.119232302743250427e+11,0.000000000000000000e+00,2.044067012251786991e+03,-1.284605171238803996e+04,0.000000000000000000e+00,8.000000000000000000e+00,1.897999999999999950e+27
0.000000000000000000e+00,-1.005572243143454939e+07,-1.354099899314854410e+05,0.000000000000000000e+00,-2.108418186207559053e+00,-5.600615376767253961e-02,0.000000000000000000e+00,9.000000000000000000e+00,1.989099999999999888e+30
1.000000000000000000e+00,-5.719735698828706360e+10,1.264938897887759552e+11,0.000000000000000000e+00,-2.787002118799622986e+04,-1.421944904257832422e+04,0.000000000000000000e+00,9.000000000000000000e+00,5.972000000000000327e+24
2.000000000000000000e+00,-7.368000008587269287e+11,-1.257754331176520538e+11,0.000000000000000000e+00,2.297398359552916190e+03,-1.280524412862462304e+04,0.000000000000000000e+00,9.000000000000000000e+00,1.897999999999999950e+27
0.000000000000000000e+00,-1.246846288951268606e+07,-2.083085021942929598e+05,0.000000000000000000e+00,-2.361170514527816344e+00,-8.024124319984501930e-02,0.000000000000000000e+00,1.000000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,-8.534286556445942688e+10,1.076153857220894928e+11,0.000000000000000000e+00,-2.396160803775920431e+04,-2.062473416625666505e+04,0.000000000000000000e+00,1.000000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-7.341827913848730469e+11,-1.395809961164927979e+11,0.000000000000000000e+00,2.549999375160422005e+03,-1.275966725107382626e+04,0.000000000000000000e+00,1.000000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-1.515634781727365218e+07,-3.114025704733608291e+05,0.000000000000000000e+00,-2.617835655066686140e+00,-1.121745905257330866e-01,0.000000000000000000e+00,1.100000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,-1.084077909489302521e+11,8.234506203808349609e+10,0.000000000000000000e+00,-1.849287669404422923e+04,-2.597715628028343417e+04,0.000000000000000000e+00,1.100000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-7.312932022331513672e+11,-1.533347735232056274e+11,0.000000000000000000e+00,2.801788945481275277e+03,-1.270933070988159670e+04,0.000000000000000000e+00,1.100000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-1.812312766356427595e+07,-4.537055577070034924e+05,0.000000000000000000e+00,-2.877456295291535238e+00,-1.530736379383808854e-01,0.000000000000000000e+00,1.200000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,-1.248517171264588165e+11,5.205460812385480499e+10,0.000000000000000000e+00,-1.175738531753916504e+04,-2.985138748943204700e+04,0.000000000000000000e+00,1.200000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-7.281321534274908447e+11,-1.670316305501102905e+11,0.000000000000000000e+00,3.052685939353918457e+03,-1.265424517597485283e+04,0.000000000000000000e+00,1.200000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-2.137129017144663259e+07,-6.454653003711606143e+05,0.000000000000000000e+00,-3.138661726565768806e+00,-2.039266849239962098e-01,0.000000000000000000e+00,1.300000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,-1.335274432544072723e+11,1.853038763492371750e+10,0.000000000000000000e+00,-4.186297057091697752e+03,-3.191493584842307610e+04,0.000000000000000000e+00,1.300000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-7.247006526248983154e+11,-1.806664444978729248e+11,0.000000000000000000e+00,3.302609203630998763e+03,-1.259442236897966541e+04,0.000000000000000000e+00,1.300000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-2.490166712293278798e+07,-8.977728216562572634e+05,0.000000000000000000e+00,-3.399780688573517118e+00,-2.652824345817440532e-01,0.000000000000000000e+00,1.400000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,-1.338118218866822052e+11,-1.615671908734670258e+10,0.000000000000000000e+00,3.689298549879950315e+03,-3.198154301015311648e+04,0.000000000000000000e+00,1.400000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-7.209997951414339600e+11,-1.942341058917632446e+11,0.000000000000000000e+00,3.551477559330870463e+03,-1.252987506371871677e+04,0.000000000000000000e+00,1.400000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-2.871320389498695731e+07,-1.222026818726749858e+06,0.000000000000000000e+00,-3.659025492503876542e+00,-3.371508902798098783e-01,0.000000000000000000e+00,1.500000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,-1.256822831471157379e+11,-4.982943449240988922e+10,0.000000000000000000e+00,1.129977233360873470e+04,-3.004410004665234737e+04,0.000000000000000000e+00,1.500000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-7.170307639809207764e+11,-2.077295196239714050e+11,0.000000000000000000e+00,3.799209800846569124e+03,-1.246061709503654856e+04,0.000000000000000000e+00,1.500000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-3.280294862046354264e+07,-1.629340083472408121e+06,0.000000000000000000e+00,-3.914706003391982936e+00,-4.189984583715739563e-01,0.000000000000000000e+00,1.600000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,-1.097201796652933807e+11,-8.040142894399540710e+10,0.000000000000000000e+00,1.810822853340343499e+04,-2.627616482005097350e+04,0.000000000000000000e+00,1.600000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-7.127948298619656982e+11,-2.211476061009280090e+11,0.000000000000000000e+00,4.045724699994565981e+03,-1.238666336269139720e+04,0.000000000000000000e+00,1.600000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-3.716626403732284904e+07,-2.129993742385526188e+06,0.000000000000000000e+00,-4.165419062323982402e+00,-5.098390885078585288e-01,0.000000000000000000e+00,1.700000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,-8.703999214237603760e+10,-1.060586213907580872e+11,0.000000000000000000e+00,2.367353760209199390e+04,-2.100150855205865810e+04,0.000000000000000000e+00,1.700000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-7.082933512384013672e+11,-2.344833023972610168e+11,0.000000000000000000e+00,4.290941013657035001e+03,-1.230802983920749102e+04,0.000000000000000000e+00,1.700000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-4.179720997574534267e+07,-2.733029160164298024e+06,0.000000000000000000e+00,-4.410169528156954399e+00,-6.083912219730943649e-01,0.000000000000000000e+00,1.800000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,-5.916178516345378113e+10,-1.253945459369320068e+11,0.000000000000000000e+00,2.769055846139940331e+04,-1.464178899943701072e+04,0.000000000000000000e+00,1.800000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-7.035277743112297363e+11,-2.477315634205716248e+11,0.000000000000000000e+00,4.534777491166421896e+03,-1.222473358204425676e+04,0.000000000000000000e+00,1.800000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-4.668901104923553020e+07,-3.446023955563684460e+06,0.000000000000000000e+00,-4.648406608843623111e+00,-7.132538644452828258e-01,0.000000000000000000e+00,1.900000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,-2.785538767295470047e+10,-1.374843683723177795e+11,0.000000000000000000e+00,3.000214631280566391e+04,-7.657905792061451393e+03,0.000000000000000000e+00,1.900000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-6.984996330342250977e+11,-2.608873630911255188e+11,0.000000000000000000e+00,4.777152878420776688e+03,-1.213679274866712876e+04,0.000000000000000000e+00,1.900000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-5.183452240756089985e+07,-4.275048904518987052e+06,0.000000000000000000e+00,-4.879987553961012914e+00,-8.230596889088906964e-01,0.000000000000000000e+00,2.000000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,5.014693089860912323e+09,-1.418986767149690552e+11,0.000000000000000000e+00,3.058699304557160212e+04,-4.990441570682179986e+02,0.000000000000000000e+00,2.000000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-6.932105491169361572e+11,-2.739456955382728577e+11,0.000000000000000000e+00,5.017985918800377476e+03,-1.204422661209222133e+04,0.000000000000000000e+00,2.000000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-5.722662964842612296e+07,-5.224766190524843521e+06,0.000000000000000000e+00,-5.105097165216262667e+00,-9.365813334011255931e-01,0.000000000000000000e+00,2.100000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,3.762237486322468567e+10,-1.386702440650209351e+11,0.000000000000000000e+00,2.953278720937995968e+04,6.432676992043736391e+03,0.000000000000000000e+00,2.100000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-6.876622320275437012e+11,-2.869015763132357178e+11,0.000000000000000000e+00,5.257195352911531700e+03,-1.194705557556791064e+04,0.000000000000000000e+00,2.100000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-6.285855174862497300e+07,-6.298614760580660775e+06,0.000000000000000000e+00,-5.324153161814955126e+00,-1.052786964743352538e+00,0.000000000000000000e+00,2.200000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,6.828078535094210815e+10,-1.282318350947883148e+11,0.000000000000000000e+00,2.700469240083036129e+04,1.280066339093236274e+04,0.000000000000000000e+00,2.200000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-6.818564789957312012e+11,-2.997500436172651978e+11,0.000000000000000000e+00,5.494699919020812558e+03,-1.184530118642762500e+04,0.000000000000000000e+00,2.200000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-6.872404452719978988e+07,-7.499032270255371928e+06,0.000000000000000000e+00,-5.537719412127622753e+00,-1.170854570079394863e+00,0.000000000000000000e+00,2.300000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,9.550992639978622437e+10,-1.113418705457286987e+11,0.000000000000000000e+00,2.321646363663200464e+04,1.833857189787259267e+04,0.000000000000000000e+00,2.300000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-6.757951750143104248e+11,-3.124861595445781860e+11,0.000000000000000000e+00,5.730418355018097827e+03,-1.173898614970932431e+04,0.000000000000000000e+00,2.300000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-7.481752017932856083e+07,-8.827676755117457360e+06,0.000000000000000000e+00,-5.746438420530661340e+00,-1.290159564220408006e+00,0.000000000000000000e+00,2.400000000000000000e+01,1.989099999999999888e+30
1.000000000000000000e+00,1.180764059504182739e+11,-8.901021011794223022e+10,0.000000000000000000e+00,1.840798377593175974e+04,2.284616587932136827e+04,0.000000000000000000e+00,2.400000000000000000e+01,5.972000000000000327e+24
2.000000000000000000e+00,-6.694802928378457031e+11,-3.251050113401170654e+11,0.000000000000000000e+00,5.964269401976308473e+03,-1.162813434206135753e+04,0.000000000000000000e+00,2.400000000000000000e+01,1.897999999999999950e+27
0.000000000000000000e+00,-8.113410578752689064e+07,-1.028562688054180332e+07,0.000000000000000000e+00,-5.950985833105805867e+00,-1.410249522661481514e+00,0.000000000000000000e+00,2.500000000000000000e+01,1.989099999999999888e+30
